ID_Traza,Ley_Fuente,Articulo,Objetivo,Stakeholder,ID_Evidencia,ID_Requisito,Tipo,ID_CU,ID_Flujo,Descripcion_Flujo,ID_HU,ID_CA,Componente,ID_Mockup,MoSCoW,Estado_Cierre,Nota
TR-2B-011,Civil/Operación,Art. N/A,Registrar datos mínimos de cliente,Recepción,EV-ENTR08-01,RF-04,RF,CU-03,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-03,CA-03,Clientes,MU-12;MU-37,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-012,Civil/Operación,Art. N/A,Consultar ficha de cliente,Recepción,EV-ENTR02-03,RF-05,RF,CU-04,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-04,CA-04,Clientes,MU-11;MU-36,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-013,Civil/Operación,Art. N/A,Consultar ficha de cliente,Recepción,EV-ENTR02-08,RF-05,RF,CU-04,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-04,CA-04,Clientes,MU-11;MU-36,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-014,Civil/Operación,Art. N/A,Consultar ficha de cliente,Recepción,EV-ENTR08-05,RF-05,RF,CU-04,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-04,CA-04,Clientes,MU-11;MU-36,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-015,Civil/Operación,Art. N/A,Actualizar y reactivar cliente,Recepción,EV-ENTR02-02,RF-06,RF,CU-05,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-05,CA-05,Clientes,MU-11;MU-36,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-016,Civil/Operación,Art. N/A,Actualizar y reactivar cliente,Recepción,EV-ENTR03-02,RF-06,RF,CU-05,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-05,CA-05,Clientes,MU-11;MU-36,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-017,Civil/Operación,Art. N/A,Actualizar y reactivar cliente,Recepción,EV-ENTR04-01,RF-06,RF,CU-05,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-05,CA-05,Clientes,MU-11;MU-36,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-018,Civil/Operación,Art. N/A,Actualizar y reactivar cliente,Recepción,EV-ENTR05-02,RF-06,RF,CU-05,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-05,CA-05,Clientes,MU-11;MU-36,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-019,Operación,Art. N/A,Configurar catálogo de planes,Administrador,EV-ENTR02-01,RF-07,RF,CU-06,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-06,CA-06,Membresías,MU-68,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-020,Operación,Art. N/A,Configurar catálogo de planes,Administrador,EV-ENTR04-01,RF-07,RF,CU-06,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-06,CA-06,Membresías,MU-68,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-021,Operación,Art. N/A,Activar y renovar membresía,Recepción,EV-ENTR01-02,RF-08,RF,CU-07,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-07,CA-07,Membresías,MU-14;MU-39,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-022,Operación,Art. N/A,Activar y renovar membresía,Recepción,EV-ENTR02-04,RF-08,RF,CU-07,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-07,CA-07,Membresías,MU-14;MU-39,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-023,Operación,Art. N/A,Activar y renovar membresía,Recepción,EV-ENTR03-01,RF-08,RF,CU-07,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-07,CA-07,Membresías,MU-14;MU-39,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-024,Operación,Art. N/A,Activar y renovar membresía,Recepción,EV-ENTR04-03,RF-08,RF,CU-07,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-07,CA-07,Membresías,MU-14;MU-39,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-025,Operación,Art. N/A,Consultar vigencia,Personal autorizado,EV-ENTR01-03,RF-09,RF,CU-08,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-08,CA-08,Membresías,MU-13;MU-38;MU-63(F),Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-026,Operación,Art. N/A,Consultar vigencia,Personal autorizado,EV-ENTR02-03,RF-09,RF,CU-08,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-08,CA-08,Membresías,MU-13;MU-38;MU-63(F),Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-027,Operación,Art. N/A,Consultar vigencia,Personal autorizado,EV-ENTR03-03,RF-09,RF,CU-08,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-08,CA-08,Membresías,MU-13;MU-38;MU-63(F),Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-028,Operación,Art. N/A,Consultar vigencia,Personal autorizado,EV-ENTR08-02,RF-09,RF,CU-08,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-08,CA-08,Membresías,MU-13;MU-38;MU-63(F),Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-029,Operación,Art. N/A,Alertar vencimientos,Recepción,EV-ENTR01-03,RF-10,RF,CU-09,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-09,CA-09,Membresías,MU-10;MU-13;MU-38,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-030,Operación,Art. N/A,Alertar vencimientos,Recepción,EV-ENTR05-02,RF-10,RF,CU-09,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-09,CA-09,Membresías,MU-10;MU-13;MU-38,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-031,Operación,Art. N/A,Alertar vencimientos,Recepción,EV-ENTR07-02,RF-10,RF,CU-09,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-09,CA-09,Membresías,MU-10;MU-13;MU-38,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-032,Operación,Art. N/A,Registrar pago y comprobante,Recepción,EV-ENTR01-02,RF-11,RF,CU-10,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-10,CA-10,Pagos,MU-15;MU-16;MU-40;MU-41,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-033,Operación,Art. N/A,Registrar pago y comprobante,Recepción,EV-ENTR02-04,RF-11,RF,CU-10,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-10,CA-10,Pagos,MU-15;MU-16;MU-40;MU-41,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-034,Operación,Art. N/A,Registrar pago y comprobante,Recepción,EV-ENTR03-04,RF-11,RF,CU-10,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-10,CA-10,Pagos,MU-15;MU-16;MU-40;MU-41,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-035,Operación,Art. N/A,Registrar pago y comprobante,Recepción,EV-ENTR07-02,RF-11,RF,CU-10,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-10,CA-10,Pagos,MU-15;MU-16;MU-40;MU-41,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-036,Operación,Art. N/A,Registrar pago y comprobante,Recepción,EV-ENTR08-03,RF-11,RF,CU-10,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-10,CA-10,Pagos,MU-15;MU-16;MU-40;MU-41,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-037,Operación,Art. N/A,Resolver pagos pendientes,Administrador,EV-ENTR02-04,RF-12,RF,N/A,N/A,Traza histórica o plan de verificación sin flujo CU específico.,N/A,CA-N/A,Pagos,MU-15;MU-40,Should,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-038,Operación,Art. N/A,Resolver pagos pendientes,Administrador,EV-ENTR03-04,RF-12,RF,N/A,N/A,Traza histórica o plan de verificación sin flujo CU específico.,N/A,CA-N/A,Pagos,MU-15;MU-40,Should,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-039,Operación,Art. N/A,Resolver pagos pendientes,Administrador,EV-ENTR07-07,RF-12,RF,N/A,N/A,Traza histórica o plan de verificación sin flujo CU específico.,N/A,CA-N/A,Pagos,MU-15;MU-40,Should,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-040,Operación,Art. N/A,Registrar asistencia,Recepción,EV-ENTR02-03,RF-13,RF,CU-11,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-11,CA-11,Asistencia,MU-20;MU-30;MU-46;MU-47,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-041,Operación,Art. N/A,Registrar asistencia,Recepción,EV-ENTR03-03,RF-13,RF,CU-11,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-11,CA-11,Asistencia,MU-20;MU-30;MU-46;MU-47,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-042,Operación,Art. N/A,Registrar asistencia,Recepción,EV-ENTR04-02,RF-13,RF,CU-11,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-11,CA-11,Asistencia,MU-20;MU-30;MU-46;MU-47,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-043,Operación,Art. N/A,Registrar asistencia,Recepción,EV-ENTR07-07,RF-13,RF,CU-11,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-11,CA-11,Asistencia,MU-20;MU-30;MU-46;MU-47,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-044,Operación,Art. N/A,Registrar asistencia,Recepción,EV-ENTR08-02,RF-13,RF,CU-11,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-11,CA-11,Asistencia,MU-20;MU-30;MU-46;MU-47,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-045,Operación,Art. N/A,Consultar asistencia,Personal autorizado,EV-ENTR03-01,RF-14,RF,CU-12,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-12,CA-12,Asistencia,MU-20;MU-46;MU-56;MU-65(F),Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-046,Operación,Art. N/A,Consultar asistencia,Personal autorizado,EV-ENTR07-01,RF-14,RF,CU-12,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-12,CA-12,Asistencia,MU-20;MU-46;MU-56;MU-65(F),Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-047,Operación,Art. N/A,Consultar asistencia,Personal autorizado,EV-ENTR08-05,RF-14,RF,CU-12,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-12,CA-12,Asistencia,MU-20;MU-46;MU-56;MU-65(F),Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-048,Operación,Art. N/A,Consultar asistencia,Personal autorizado,EV-ENTR09-06,RF-14,RF,CU-12,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-12,CA-12,Asistencia,MU-20;MU-46;MU-56;MU-65(F),Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-049,Operación,Art. N/A,Administrar productos,Administrador,EV-ENTR01-01,RF-15,RF,CU-13,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-13,CA-13,Inventario,MU-19;MU-28;MU-44;MU-45,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-050,Operación,Art. N/A,Administrar productos,Administrador,EV-ENTR02-05,RF-15,RF,CU-13,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-13,CA-13,Inventario,MU-19;MU-28;MU-44;MU-45,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-051,Operación,Art. N/A,Registrar movimientos de stock,Personal autorizado,EV-ENTR01-04,RF-16,RF,CU-14,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-14,CA-14,Inventario,MU-69,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-052,Operación,Art. N/A,Registrar movimientos de stock,Personal autorizado,EV-ENTR04-04,RF-16,RF,CU-14,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-14,CA-14,Inventario,MU-69,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-053,Operación,Art. N/A,Registrar movimientos de stock,Personal autorizado,EV-ENTR07-03,RF-16,RF,CU-14,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-14,CA-14,Inventario,MU-69,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-054,Operación,Art. N/A,Registrar venta,Recepción,EV-ENTR02-05,RF-17,RF,CU-15,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-15,CA-15,Ventas,MU-18;MU-27;MU-42;MU-43,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-055,Operación,Art. N/A,Registrar venta,Recepción,EV-ENTR03-01,RF-17,RF,CU-15,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-15,CA-15,Ventas,MU-18;MU-27;MU-42;MU-43,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-056,Operación,Art. N/A,Registrar venta,Recepción,EV-ENTR04-04,RF-17,RF,CU-15,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-15,CA-15,Ventas,MU-18;MU-27;MU-42;MU-43,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-057,Operación,Art. N/A,Registrar venta,Recepción,EV-ENTR07-03,RF-17,RF,CU-15,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-15,CA-15,Ventas,MU-18;MU-27;MU-42;MU-43,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-058,Operación,Art. N/A,Registrar venta,Recepción,EV-ENTR08-03,RF-17,RF,CU-15,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-15,CA-15,Ventas,MU-18;MU-27;MU-42;MU-43,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-059,Base interna,N/A,Alertar stock y rotación,Administrador,EV-ENTR01-04,RF-18,RF,N/A,N/A,Traza histórica o plan de verificación sin flujo CU específico.,N/A,CA-N/A,Inventario,MU-10;MU-19;MU-44,Should,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-060,Base interna,N/A,Alertar stock y rotación,Administrador,EV-ENTR02-05,RF-18,RF,N/A,N/A,Traza histórica o plan de verificación sin flujo CU específico.,N/A,CA-N/A,Inventario,MU-10;MU-19;MU-44,Should,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-061,Base interna,N/A,Alertar stock y rotación,Administrador,EV-ENTR05-04,RF-18,RF,N/A,N/A,Traza histórica o plan de verificación sin flujo CU específico.,N/A,CA-N/A,Inventario,MU-10;MU-19;MU-44,Should,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-062,Base interna,N/A,Alertar stock y rotación,Administrador,EV-ENTR06-04,RF-18,RF,N/A,N/A,Traza histórica o plan de verificación sin flujo CU específico.,N/A,CA-N/A,Inventario,MU-10;MU-19;MU-44,Should,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-063,Operación,Art. N/A,Cerrar turno y conciliar caja,Recepción,EV-ENTR02-01,RF-19,RF,CU-16,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-16,CA-16,Caja,MU-70,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-064,Operación,Art. N/A,Cerrar turno y conciliar caja,Recepción,EV-ENTR02-06,RF-19,RF,CU-16,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-16,CA-16,Caja,MU-70,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-065,Operación,Art. N/A,Cerrar turno y conciliar caja,Recepción,EV-ENTR03-05,RF-19,RF,CU-16,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-16,CA-16,Caja,MU-70,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-066,Operación,Art. N/A,Cerrar turno y conciliar caja,Recepción,EV-ENTR04-05,RF-19,RF,CU-16,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-16,CA-16,Caja,MU-70,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-067,Operación,Art. N/A,Cerrar turno y conciliar caja,Recepción,EV-ENTR07-03,RF-19,RF,CU-16,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-16,CA-16,Caja,MU-70,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-068,Operación,Art. N/A,Cerrar turno y conciliar caja,Recepción,EV-ENTR08-04,RF-19,RF,CU-16,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-16,CA-16,Caja,MU-70,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-069,Operación,Art. N/A,Gestionar novedades internas,Personal autorizado,EV-ENTR02-01,RF-20,RF,CU-17,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-17,CA-17,Novedades,MU-21;MU-31;MU-50;MU-51;MU-61,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-070,Operación,Art. N/A,Gestionar novedades internas,Personal autorizado,EV-ENTR02-08,RF-20,RF,CU-17,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-17,CA-17,Novedades,MU-21;MU-31;MU-50;MU-51;MU-61,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-071,Operación,Art. N/A,Gestionar novedades internas,Personal autorizado,EV-ENTR03-07,RF-20,RF,CU-17,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-17,CA-17,Novedades,MU-21;MU-31;MU-50;MU-51;MU-61,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-072,Operación,Art. N/A,Gestionar novedades internas,Personal autorizado,EV-ENTR04-06,RF-20,RF,CU-17,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-17,CA-17,Novedades,MU-21;MU-31;MU-50;MU-51;MU-61,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-073,Operación,Art. N/A,Gestionar novedades internas,Personal autorizado,EV-ENTR05-01,RF-20,RF,CU-17,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-17,CA-17,Novedades,MU-21;MU-31;MU-50;MU-51;MU-61,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-074,Base interna,N/A,Gestionar horario y disponibilidad de instructor,Administrador,EV-ENTR07-06,RF-21,RF,N/A,N/A,Traza histórica o plan de verificación sin flujo CU específico.,N/A,CA-N/A,Instructores,MU-23;MU-33;MU-48;MU-49;MU-58,Should,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-075,Base interna,N/A,Gestionar horario y disponibilidad de instructor,Administrador,EV-ENTR09-03,RF-21,RF,N/A,N/A,Traza histórica o plan de verificación sin flujo CU específico.,N/A,CA-N/A,Instructores,MU-23;MU-33;MU-48;MU-49;MU-58,Should,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-076,Base interna,N/A,Gestionar horario y disponibilidad de instructor,Administrador,EV-ENTR10-02,RF-21,RF,N/A,N/A,Traza histórica o plan de verificación sin flujo CU específico.,N/A,CA-N/A,Instructores,MU-23;MU-33;MU-48;MU-49;MU-58,Should,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-077,Operación,Art. N/A,Administrar rutinas,Instructor,EV-ENTR01-05,RF-22,RF,CU-18,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-18,CA-18,Rutinas,MU-17;MU-29;MU-54;MU-55;MU-64(F),Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-078,Operación,Art. N/A,Administrar rutinas,Instructor,EV-ENTR05-04,RF-22,RF,CU-18,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-18,CA-18,Rutinas,MU-17;MU-29;MU-54;MU-55;MU-64(F),Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-079,Operación,Art. N/A,Administrar rutinas,Instructor,EV-ENTR09-01,RF-22,RF,CU-18,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-18,CA-18,Rutinas,MU-17;MU-29;MU-54;MU-55;MU-64(F),Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-080,Operación,Art. N/A,Administrar rutinas,Instructor,EV-ENTR09-02,RF-22,RF,CU-18,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-18,CA-18,Rutinas,MU-17;MU-29;MU-54;MU-55;MU-64(F),Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
