ID,Tipo,Enunciado_terminal,Fuente,Articulo,Objetivo,Stakeholder,Evidencias,CU,HU,CA,Componente,Mockups,MoSCoW,Kano,Estado_requisito,Estado_MVP
RF-18,RF,"El sistema deberá listar productos en o bajo stock mínimo y resumir entradas, salidas y ventas por período.",Base interna,N/A,Alertar stock y rotación,Administrador,EV-ENTR01-04;EV-ENTR02-05;EV-ENTR05-04;EV-ENTR06-04,,,CA-N/A,Inventario,MU-10;MU-19;MU-44,Should,Desempeño,ESPECIFICADO,NO_APLICA
RF-19,RF,"El sistema deberá calcular pagos y ventas por medio, comparar valores declarados y registrar diferencias y entrega de turno.",Operación,Art. N/A,Cerrar turno y conciliar caja,Recepción,EV-ENTR02-01;EV-ENTR02-06;EV-ENTR03-05;EV-ENTR04-05;EV-ENTR07-03;EV-ENTR08-04,CU-16,HU-16,CA-16,Caja,MU-70,Must,Desempeño,ESPECIFICADO,NO_IMPLEMENTADO
RF-20,RF,"El sistema deberá crear una novedad con categoría, detalle mínimo, responsable, vencimiento y estados pendiente, en proceso, resuelta o cancelada.",Operación,Art. N/A,Gestionar novedades internas,Personal autorizado,EV-ENTR02-01;EV-ENTR02-08;EV-ENTR03-07;EV-ENTR04-06;EV-ENTR05-01,CU-17,HU-17,CA-17,Novedades,MU-21;MU-31;MU-50;MU-51;MU-61,Must,Desempeño,ESPECIFICADO,IMPLEMENTADO
RF-21,RF,"El sistema deberá registrar turnos, capacidad, disponibilidad y novedades operativas del instructor, sin datos de salud.",Base interna,N/A,Gestionar horario y disponibilidad de instructor,Administrador,EV-ENTR07-06;EV-ENTR09-03;EV-ENTR10-02,,,CA-N/A,Instructores,MU-23;MU-33;MU-48;MU-49;MU-58,Should,Desempeño,ESPECIFICADO,NO_APLICA
RF-22,RF,"El sistema deberá crear una rutina con objetivo operativo, ejercicios, series, repeticiones, descanso y días, y asignarla a un cliente sintético o autorizado.",Operación,Art. N/A,Administrar rutinas,Instructor,EV-ENTR01-05;EV-ENTR05-04;EV-ENTR09-01;EV-ENTR09-02;EV-ENTR09-03,CU-18,HU-18,CA-18,Rutinas,MU-17;MU-29;MU-54;MU-55;MU-64(F),Must,Básico,ESPECIFICADO,IMPLEMENTADO
RF-23,RF,El sistema deberá crear una nueva versión al modificar ejercicios o parámetros y conservar las versiones anteriores en solo lectura.,Operación,Art. N/A,Registrar seguimiento,Instructor,EV-ENTR01-05;EV-ENTR09-01;EV-ENTR09-04;EV-ENTR10-01;EV-ENTR10-03,CU-19,HU-19,CA-19,Rutinas,MU-17;MU-54,Must,Desempeño,ESPECIFICADO,IMPLEMENTADO
RF-24,RF,"El sistema deberá registrar fecha, cumplimiento de ejercicios, repeticiones y observación operativa, excluyendo diagnósticos, lesiones, peso y medidas reales.",Base interna,N/A,Registrar seguimiento operativo,Instructor,EV-ENTR09-04;EV-ENTR09-05;EV-ENTR09-06;EV-ENTR10-03;EV-ENTR10-04,,,CA-N/A,Rutinas,MU-59;MU-60,Should,Desempeño,ESPECIFICADO,NO_APLICA
RF-25,RF,"El sistema deberá mostrar indicadores filtrables de membresías, pagos, asistencias, ventas, caja, inventario y novedades, con exportación CSV.",Base interna,N/A,Consultar panel y reportes,Administrador,EV-ENTR01-05;EV-ENTR05-05;EV-ENTR06-04;EV-ENTR07-04;EV-ENTR08-05;EV-ENTR09-05,,,CA-N/A,Reportes,MU-10;MU-24;MU-34,Should,Desempeño,ESPECIFICADO,NO_APLICA
RNF-01,RNF,"En cada versión candidata, el 100 % de los RF Must tendrá al menos un criterio de aceptación ejecutable y una evidencia de prueba; no se libera si alguno falla.",ISO/IEC/IEEE 29148,,Adecuación funcional,Equipo PFC / perfiles de usuario,REF-ISO29148,,,CA-N/A,General,,,,ESPECIFICADO,NO_APLICA
RNF-02,RNF,"Con 10 000 clientes sintéticos y 20 sesiones concurrentes, el percentil 95 de búsqueda y consulta de membresía será ≤ 5 s y la tasa de error ≤ 1 %.",ISO/IEC 25010,,Eficiencia de desempeño,Equipo PFC / perfiles de usuario,REF-ISO25010,,,CA-N/A,General,,,,ESPECIFICADO,NO_APLICA
RNF-03,RNF,El registro de asistencia confirmada completará el flujo en ≤ 30 s para al menos 9 de 10 tareas de una prueba moderada.,ISO/IEC 25010,,Eficiencia de desempeño,Equipo PFC / perfiles de usuario,REF-ISO25010,,,CA-N/A,General,,,,ESPECIFICADO,NO_APLICA
RNF-04,RNF,"Las funciones Must superarán el 100 % de sus pruebas en las dos versiones estables más recientes de Chrome, Edge y Firefox disponibles al corte.",ISO/IEC 25010,,Compatibilidad,Equipo PFC / perfiles de usuario,REF-ISO25010,,,CA-N/A,General,,,,ESPECIFICADO,NO_APLICA
RNF-05,RNF,"Al menos 9 de 10 tareas críticas de alta, renovación, pago, asistencia y venta se completarán sin ayuda por cada perfil en walkthrough; la aceptación se verificará con registro reproducible por perfil.",ISO/IEC 25010 / Rúbrica,,Interacción de usuario,Equipo PFC / perfiles de usuario,EV-VAL-01,,,CA-N/A,Interfaces,,,,ESPECIFICADO,NO_APLICA
RNF-06,RNF,"Las pantallas Must cumplirán WCAG 2.2 nivel AA en criterios aplicables mediante auditoría automática y revisión manual, sin errores críticos.",WCAG 2.2,,Interacción de usuario,Equipo PFC / perfiles de usuario,REF-WCAG22,,,CA-N/A,Interfaces,,,,ESPECIFICADO,NO_APLICA
RNF-07,RNF,"Tras 100 operaciones transaccionales de pago, venta y asistencia con una interrupción simulada, no habrá registros parciales y la recuperación será ≤ 10 min.",ISO/IEC 25010,,Fiabilidad,Equipo PFC / perfiles de usuario,REF-ISO25010,,,CA-N/A,General,,,,ESPECIFICADO,NO_APLICA
RNF-08,RNF,Una copia diaria cifrada permitirá restaurar una base sintética de prueba con RPO ≤ 24 h y RTO ≤ 4 h en un simulacro documentado.,ISO/IEC 25010 / OWASP,,Fiabilidad,Equipo PFC / perfiles de usuario,REF-ISO25010;REF-OWASP,,,CA-N/A,General,,,,ESPECIFICADO,NO_APLICA
RNF-09,RNF,El 100 % de las pruebas negativas de autorización impedirá acceso a funciones o datos fuera del rol y registrará el intento sin exponer datos personales.,LOPDP / OWASP,,Seguridad,Equipo PFC / perfiles de usuario,REF-LOPDP;REF-OWASP,,,CA-N/A,Seguridad,,,,ESPECIFICADO,NO_APLICA
RNF-10,RNF,"Por defecto se almacenarán solo código interno, nombre de uso y contacto opcional; salud, biometría, peso, medidas, dirección e imagen corporal real tendrán cobertura de captura igual a 0 % en desarrollo y pruebas.",LOPDP / SPDP,,Seguridad,Equipo PFC / perfiles de usuario,REF-LOPDP;REF-SPDP,,,CA-N/A,Seguridad,,,,ESPECIFICADO,NO_APLICA
RNF-11,RNF,Las sesiones expirarán tras 15 min de inactividad; secretos no se almacenarán en texto claro y todo tráfico de un despliegue conectado usará TLS 1.2 o superior.,OWASP / NIST,,Seguridad,Equipo PFC / perfiles de usuario,REF-OWASP;REF-NIST,,,CA-N/A,Despliegue,,,,ESPECIFICADO,NO_APLICA
RNF-12,RNF,La suite automatizada cubrirá ≥ 70 % de líneas de los módulos de dominio antes de etiquetar una versión candidata.,ISO/IEC 25010,,Mantenibilidad,Equipo PFC / perfiles de usuario,REF-ISO25010,,,CA-N/A,Componentes,,,,ESPECIFICADO,NO_APLICA
RNF-13,RNF,"Los módulos Clientes, Membresías, Pagos, Asistencia, Inventario, Caja y Rutinas tendrán interfaces explícitas; un cambio de regla en un módulo no exigirá modificar más de un módulo consumidor.",ISO/IEC/IEEE 29148,,Mantenibilidad,Equipo PFC / perfiles de usuario,REF-ISO29148,,,CA-N/A,Auditoría,,,,ESPECIFICADO,NO_APLICA
RNF-14,RNF,"El sistema web y sus pruebas se desplegarán con una única instrucción documentada en Windows 11 y una distribución Linux LTS, sin editar código fuente.",ISO/IEC 25010,,Portabilidad,Equipo PFC / perfiles de usuario,REF-ISO25010,,,CA-N/A,General,,,,ESPECIFICADO,NO_APLICA
RNF-15,RNF,"Planes, precios, stock mínimo, roles operativos y ventanas de alerta se modificarán por configuración autorizada sin recompilar ni editar código.",ISO/IEC 25010,,Flexibilidad,Equipo PFC / perfiles de usuario,REF-ISO25010,,,CA-N/A,General,,,,ESPECIFICADO,NO_APLICA
RD-01,RD,"Excluir datos reales de salud y biometría automatizada; usar minimización, seudonimización y datos sintéticos en diseño y pruebas.",LOPDP / SPDP,"Arts. 4, 10, 25, 26 y 39",Restricción de diseño/privacidad,Equipo PFC / responsable del tratamiento,REF-LOPDP;REF-SPDP,,,CA-N/A,Privacidad,,,,ESPECIFICADO,NO_APLICA
RD-02,RD,"Aplicar privacidad desde el diseño y por defecto, mínimo privilegio y conservación limitada.",LOPDP / SPDP,Arts. 10 y 39,Restricción de diseño/privacidad,Equipo PFC / responsable del tratamiento,REF-LOPDP;REF-SPDP,,,CA-N/A,Seguridad,,,,ESPECIFICADO,NO_APLICA
RD-03,RD,"Prever mecanismos trazables de acceso, rectificación, actualización, eliminación, oposición y portabilidad antes de producción.",LOPDP,Art. 39,Restricción de diseño/privacidad,Equipo PFC / responsable del tratamiento,REF-LOPDP,,,CA-N/A,Clientes,,,,ESPECIFICADO,NO_APLICA
RD-04,RD,"No incorporar IA o aprendizaje automático al producto mientras no exista necesidad elicitada, evaluación de riesgo, adenda y validación.",Paquete ético / memo de alcance,Categoría A,Restricción de diseño/privacidad,Equipo PFC / responsable del tratamiento,MEMO-ALCANCE-IA,,,CA-N/A,Alcance,,,,ESPECIFICADO,NO_APLICA
RNF-16,RNF,"El componente propuesto de recomendación de rutinas deberá mostrar, junto con cada rutina recomendada, el objetivo o necesidad principal asociada a la rutina y, cuando existan, las restricciones relevantes registradas para el cliente.",WALK + member checking,N/A,Explicar objetivo y restricciones de la recomendación,Cliente e instructor autorizado.,WALK-TEC-02-F006;WALK-TEC-02-F007;WALK-NTEC-03-F003,N/A,N/A,PV-RNF-16,Componente de recomendación propuesto / vista de rutina,N/A,Should,Desempeño,ESPECIFICADO,NO_IMPLEMENTADO_PROPUESTO
RNF-17,RNF,"Toda rutina propuesta por el componente inteligente deberá ser revisada por un entrenador autorizado antes de asignarse al cliente. El entrenador podrá aceptar, modificar o rechazar la propuesta; el sistema deberá registrar la decisión, el responsable, la fecha y la versión de la rutina, y mostrar la procedencia profesional externa cuando exista.",WALK + member checking,N/A,Garantizar supervisión humana obligatoria y trazable de toda propuesta automática,Entrenador autorizado; cliente,WALK-TEC-02-F008;WALK-TEC-02-F009,N/A,N/A,PV-RNF-17,Componente de recomendación propuesto / registro auditable de revisión,N/A,Should,Desempeño,ESPECIFICADO,NO_IMPLEMENTADO_PROPUESTO
RNF-18,RNF,"El sistema deberá permitir consultar la rutina vigente y el historial de rutinas registradas, mostrando la fecha y las observaciones asociadas cuando estén disponibles.",WALK + member checking,N/A,Mantener historial trazable de rutinas,Cliente e instructor autorizado.,WALK-TEC-01-F003;WALK-TEC-01-F014,N/A,N/A,PV-RNF-18,Gestión de rutinas / historial,N/A,Should,Desempeño,ESPECIFICADO,NO_IMPLEMENTADO_PROPUESTO
RNF-19,RNF,"Cuando el sistema sugiera una rutina inicial o realice una asignación automática de una rutina o clase, deberá mostrar de forma breve el criterio principal utilizado para realizar dicha sugerencia o asignación.",WALK + member checking,N/A,Mostrar el motivo principal de la recomendación,"Instructor y, cuando corresponda, cliente.",WALK-NTEC-01-F008;WALK-TEC-03-F014;WALK-TEC-02-F006,N/A,N/A,PV-RNF-19,Componente de recomendación propuesto / explicación visible,N/A,Should,Desempeño,ESPECIFICADO,NO_IMPLEMENTADO_PROPUESTO
RNF-20,RNF,El componente propuesto de recomendación deberá alcanzar una pertinencia validada por entrenador autorizado en al menos 80 % de los casos sintéticos de prueba definidos antes de cada versión candidata.,"Guía específica FabroGym, sección 8",Punto 1,Validar la pertinencia de la recomendación de rutina,Entrenador autorizado,NO EXISTE PRUEBA EJECUTADA; requisito derivado de norma/diseño,N/A,N/A,PV-RNF-20,Componente de recomendación propuesto / motor de recomendación,N/A,Should,Desempeño,PROPUESTO,NO_IMPLEMENTADO_PROPUESTO
RNF-21,RNF,"En un conjunto de prueba sintético y balanceado, la diferencia máxima entre grupos de edad, condición física declarada y sexo en la tasa de recomendaciones calificadas como no pertinentes por un entrenador autorizado deberá ser menor o igual a 10 puntos porcentuales.","Guía específica FabroGym, sección 8",Punto 3,Controlar equidad y no discriminación,Responsable de calidad y entrenador autorizado,NO EXISTE EVIDENCIA DE CAMPO; requisito derivado de norma/diseño,N/A,N/A,PV-RNF-21,Componente de recomendación propuesto / evaluación de equidad,N/A,Should,Desempeño,PROPUESTO,NO_IMPLEMENTADO_PROPUESTO
RNF-22,RNF,"Después de un eventual despliegue, el sistema deberá registrar el 100 % de las recomendaciones emitidas, aceptadas, modificadas o rechazadas y producir mensualmente indicadores de aceptación, sustitución humana e incidentes para revisión del responsable del producto.","Guía específica FabroGym, sección 8",Punto 5,Monitorear el componente después del despliegue,Responsable del producto,NO EXISTE DESPLIEGUE; requisito derivado de norma/diseño,N/A,N/A,PV-RNF-22,Componente de recomendación propuesto / registro de monitoreo,N/A,Should,Desempeño,PROPUESTO,NO_IMPLEMENTADO_PROPUESTO
RNF-23,RNF,"Antes de habilitar o cambiar el componente propuesto, el responsable del producto deberá clasificar y justificar el 100 % de los riesgos de recomendación en una matriz versionada; el riesgo inicial se considera alto por su posible impacto físico y ninguna versión se habilitará sin supervisión humana y aceptación explícita del riesgo residual.","Guía específica FabroGym, sección 8",Punto 6,Clasificar y justificar el riesgo del componente,Responsable del producto y entrenador autorizado,NO EXISTE EVALUACIÓN EJECUTADA; requisito derivado de norma/diseño,N/A,N/A,PV-RNF-23,Componente de recomendación propuesto / gestión de riesgos,N/A,Should,Desempeño,PROPUESTO,NO_IMPLEMENTADO_PROPUESTO
